type,title,micro_summary,summary,tags,access_mode,url
bgu_links,חיפוש סגל,חיפוש סגל,חיפוש סגל,quick_links,public,https://bgu.ac.il/people
bgu_links,טיפול אתי ושימוש בבעלי חיים במחקר,טיפול אתי ושימוש בבעלי חיים במחקר,טיפול אתי ושימוש בבעלי חיים במחקר,quick_links,public,https://bgu.ac.il/u/faculties/health-sciences/animal-facility
bgu_links,לוח שנה אקדמי,לוח שנה אקדמי,לוח שנה אקדמי,quick_links,public,https://bgu.ac.il/academic-calendar
bgu_links,לימודי תואר שלישי PHD,לימודי תואר שלישי PHD,לימודי תואר שלישי PHD,quick_links,public,https://bgu.ac.il/welcome/phd-studies1
bgu_links,לכל השילובים,לכל השילובים,לכל השילובים,quick_links,public,https://bgu.ac.il/welcome/ba/combinations
bgu_links,למה בן-גוריון,למה בן-גוריון,למה בן-גוריון,quick_links,public,https://bgu.ac.il/welcome/ba/why-ben-gurion-university
bgu_links,לקראת הלימודים באוניברסיטה - הבלוג,לקראת הלימודים באוניברסיטה - הבלוג,לקראת הלימודים באוניברסיטה - הבלוג,quick_links,public,https://bgu.ac.il/welcome/blog/articles
bgu_links,מבנה ארגוני,מבנה ארגוני,מבנה ארגוני,quick_links,public,https://bgu.ac.il/general/bgu-organizational-structure
bgu_links,מבקר האוניברסיטה,מבקר האוניברסיטה,מבקר האוניברסיטה,quick_links,public,https://bgu.ac.il/u/management/comptroller
bgu_links,מועדון עמיתי תעשייה,מועדון עמיתי תעשייה,מועדון עמיתי תעשייה,quick_links,public,https://bgu.ac.il/u/faculties/engineering/departments/industrial-affiliates-program
bgu_links,מחלקת הבטחון,מחלקת הבטחון,מחלקת הבטחון,quick_links,public,https://bgu.ac.il/u/admin/logistics/security
bgu_links,מחקר בבן-גוריון,מחקר בבן-גוריון,מחקר בבן-גוריון,quick_links,public,https://bgu.ac.il/research-at-bgu
bgu_links,מחשבון ממוצע בגרות וסכם לתואר ראשון,מחשבון ממוצע בגרות וסכם לתואר ראשון,מחשבון ממוצע בגרות וסכם לתואר ראשון,quick_links,public,https://bgu.ac.il/welcome/contents/pre-registration/summative-scores-calculation
bgu_links,מידע לבוגרים ובוגרות,מידע לבוגרים ובוגרות,מידע לבוגרים ובוגרות,quick_links,public,https://bgu.ac.il/general/for-alumni
bgu_links,מכון בן-גוריון לחקר ישראל והציונות,מכון בן-גוריון לחקר ישראל והציונות,מכון בן-גוריון לחקר ישראל והציונות,quick_links,public,https://bgu.ac.il/u/sde-boker/bgri
bgu_links,מכון הקשרים לחקר הספרות והתרבות היהודית והישראלית,מכון הקשרים לחקר הספרות והתרבות היהודית והישראלית,מכון הקשרים לחקר הספרות והתרבות היהודית והישראלית,quick_links,public,https://bgu.ac.il/u/research-centers/heksherim
bgu_links,ממילואים ללימודים,ממילואים ללימודים,ממילואים ללימודים,quick_links,public,https://bgu.ac.il/welcome/contents/pre-registration/miluim-limudim
bgu_links,מניעת הטרדה מינית באוניברסיטה,מניעת הטרדה מינית באוניברסיטה,מניעת הטרדה מינית באוניברסיטה,quick_links,public,https://bgu.ac.il/general/protect
bgu_links,"מנכ""ל וסגן נשיא","מנכ""ל וסגן נשיא","מנכ""ל וסגן נשיא",quick_links,public,https://bgu.ac.il/general/management-director-general
bgu_links,מעון ויצו לגיל הרך - בית פאני,מעון ויצו לגיל הרך - בית פאני,מעון ויצו לגיל הרך - בית פאני,quick_links,public,https://in.bgu.ac.il/daycare/Pages/default.aspx
bgu_links,מעורבות חברתית,מעורבות חברתית,מעורבות חברתית,quick_links,public,https://bgu.ac.il/u/outreach/social-outreach
