מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025A,2025B,2024A,2024B,2023A,2023B,2022A,2022B
36121160,למידה עמוקה בביולוגיה חישובית,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37111241,דחיסת מולטימדיה,,,91.54,Label Not Found,92.05,Label Not Found,93.37,Label Not Found,Label Not Found,92.36
36113621,מבוא לעיבוד מקבילי,,,86.09,82.95,86.03,84.04,89.11,84.76,85.56,86.56
36113261,מבוא לאלקטרוניקה תעשייתית,,,73.22,Label Not Found,91.67,Label Not Found,73.88,Label Not Found,Label Not Found,75.63
36114561,ממירי CD-CD,,,77.91,Label Not Found,85.58,Label Not Found,76.57,Label Not Found,75.82,Label Not Found
36114581,הינע חשמלי,,,Label Not Found,73.92,Label Not Found,74.67,Label Not Found,84.7,Label Not Found,81.39
36114731,בקרה ליניארי ת,,,Label Not Found,Label Not Found,82.0,Label Not Found,Label Not Found,Label Not Found,Label Not Found,72.5
36113671,מעגלים אלקטרוניים אנאלוגיים,,,Label Not Found,69.65,Label Not Found,79.51,Label Not Found,75.98,Label Not Found,79.4
36114191,מבנה מחשבים ספרתיים,,,Label Not Found,85.94,Label Not Found,90.92,Label Not Found,85.86,Label Not Found,87.06
36122250,בקרה לא ליניארית,,,Label Not Found,72.15,Label Not Found,70.65,Label Not Found,94.36,Label Not Found,73.86
36113701,מעגלים משולבים ומבוא ל-VLSI,,,Label Not Found,82.91,Label Not Found,85.25,Label Not Found,83.6,Label Not Found,83.57
36114051,מבוא למיקרוגלים,,,Label Not Found,66.1,Label Not Found,74.43,Label Not Found,80.0,Label Not Found,79.67
36114621,התפשטות ופיזור גלים,,,81.85,Label Not Found,84.11,Label Not Found,82.56,Label Not Found,Label Not Found,Label Not Found
36113091,תכנון בסיסי של מעגלי RFIC,,,Label Not Found,Label Not Found,96.52,Label Not Found,93.71,Label Not Found,Label Not Found,93.14
36113041,מעגלי מיקרוגלים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36111035,מקורות של קרינת מיקרוגל,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36120726,מבוא לאקוסטיקה,,,Label Not Found,Label Not Found,Label Not Found,92.54,88.91,Label Not Found,Label Not Found,Label Not Found
36125781,אלקטרומגנטיות מתקדמת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,89.25
36125481,למיקרוגלים ואופטיקה,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36121130,"מערכות מכ""מ",,,Label Not Found,98.5,Label Not Found,Label Not Found,Label Not Found,92.15,Label Not Found,95.56
36114830,מעבר לטרנזיסטור SOMC: מהתקנים קוונטים דרך פלסטיק מוליך,,,Label Not Found,83.09,Label Not Found,78.07,Label Not Found,76.88,Label Not Found,78.77
36114903,"מעבדת מכשור, התקנים ומעגלים",,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36113751,תכנון VLSI,,,98.46,Label Not Found,Label Not Found,97.63,87.03,Label Not Found,88.68,Label Not Found
36121051,טכנולוגיות ואקום במיקרואלקטרוניקה,,,87.83,Label Not Found,88.2,Label Not Found,89.2,Label Not Found,85.63,Label Not Found
36120926,מוליכים למחצה אורגניים ושימושיהם,,,Label Not Found,Label Not Found,Label Not Found,89.1,Label Not Found,92.27,Label Not Found,Label Not Found
36125961,"המרה פוטו -וולטאית, מסיליקון לתאי שמש אורגניים",,,Label Not Found,Label Not Found,93.33,Label Not Found,95.86,Label Not Found,Label Not Found,Label Not Found
36126281,אופטימיזציה,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114201,אדריכלו ת יחיד ת עיבוד מרכזית - תיאוריה,,,Label Not Found,81.6,Label Not Found,91.56,Label Not Found,84.82,Label Not Found,85.54
37111663,תכנות מערכות,,,77.28,79.69,74.07,83.62,80.21,76.73,72.65,Label Not Found
37111631,מערכות הפעלה,,,72.48,Label Not Found,86.43,Label Not Found,80.03,Label Not Found,80.87,Label Not Found
36113611,תכן ספרתי וסינטזה לוגית,,,86.24,Label Not Found,80.13,Label Not Found,82.67,Label Not Found,89.38,Label Not Found
36113811,תכנות מונחה עצמים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114691,חישוב מקביל י ומבוזר,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114761,מבוא לדימות ביורפואי,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114840,אינטרנט של חפצים,,,Label Not Found,Label Not Found,93.95,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36113731,עיבוד אותות סטטיסטי,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114751,מבוא לעיבוד ספרתי של תמונות,,,86.16,Label Not Found,88.31,89.3,89.59,Label Not Found,90.98,Label Not Found
36114651,אותות ביואלקטריים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,89.83,Label Not Found,86.15,Label Not Found
20118011,סטטיסטיקה מתמטית 1,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114281,הנדסת אינפרה אדום,,,Label Not Found,79.8,Label Not Found,88.63,Label Not Found,78.92,Label Not Found,83.65
36113911,הנדסת לייזרים,,,84.33,Label Not Found,Label Not Found,82.08,Label Not Found,76.57,Label Not Found,Label Not Found
36114991,אופטיקת פורייה,,,71.0,Label Not Found,92.13,Label Not Found,86.75,Label Not Found,82.71,Label Not Found
36113781,גלאי הדמאה ב - VLSI,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37112413,מעבדת מבוא לרשתות מחשבים,,,93.46,Label Not Found,96.71,Label Not Found,91.3,Label Not Found,Label Not Found,88.61
37110301,אלגוריתמים מבוזרים,,,Label Not Found,82.6,Label Not Found,85.48,Label Not Found,84.66,Label Not Found,89.14
37111711,מבוא לסימולציה וסטטיסטיקה ברשתות,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,87.5
37111411,תכן רשתות: תורת התורים,,,87.25,Label Not Found,64.17,Label Not Found,78.29,Label Not Found,88.83,Label Not Found
37111301,רשתות מהירות ומיתוג,,,Label Not Found,80.45,Label Not Found,86.14,Label Not Found,74.13,Label Not Found,75.27
37112321,מחשוב ענן ווירטואליזציה,,,Label Not Found,Label Not Found,Label Not Found,87.15,Label Not Found,88.78,Label Not Found,82.29
38110112,תכנות פונקציונאלי במערכות מקבילות ומבוזרות,,,Label Not Found,96.5,Label Not Found,92.0,Label Not Found,89.4,Label Not Found,94.25
37120205,עקרונות בהנדסת מערכות תקשורת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120231,תכנון וניתוח פרוטוקולים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120301,אלגוריתמיקה ברשתות,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,92.96,Label Not Found
37120311,אלגוריתמים ברשתות חיישנים,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120331,רשתות חברתיות,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,87.73,Label Not Found,Label Not Found
37120401,אבטחת רשתות תקשורת,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120252,לימוד מכונה ברשתות ומערכות תקשור ת,,,Label Not Found,Label Not Found,90.13,Label Not Found,89.18,Label Not Found,91.5,Label Not Found
37121641,תורת המשחקים ברשתות תקשור ת,,,82.27,Label Not Found,81.47,Label Not Found,82.73,Label Not Found,Label Not Found,Label Not Found
36114041,מבוא לתכנון ISLV ספרתי,3.0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114111,רכיבים אלקטרונים פסיביים,3.0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36114071,מבוא להנדסת מתח גבוה,3.0,36113031,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
36126291,תמונות נושאים נבחרים בעיבוד ספרתי של,3.0,,89.42,Label Not Found,87.63,Label Not Found,Label Not Found,86.15,Label Not Found,85.21
36122120,עיבוד אותות שמע,3.0,36113061 36113321,Label Not Found,Label Not Found,90.13,Label Not Found,Label Not Found,Label Not Found,87.52,Label Not Found
36122130,משתנים נושאים באנליזה סטטיסטית מרובת,3.0,,Label Not Found,Label Not Found,Label Not Found,87.92,Label Not Found,Label Not Found,Label Not Found,90.29
36122230,תורת המטריצות,3.0,20119521,Label Not Found,Label Not Found,Label Not Found,80.0,Label Not Found,Label Not Found,78.67,Label Not Found
36123061,תורת המידע רבת משתמשים 2,3.0,36125981,Label Not Found,99.71,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,97.0
36122061,תורת המידע רבת משתמשים,3.0,,Label Not Found,Label Not Found,Label Not Found,99.33,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37110281,תכן רשתות מחשבים,3.0,37110291,Label Not Found,82.97,Label Not Found,85.52,80.83,79.36,80.71,Label Not Found
37110342,תכנון אלגוריתמים,3.5,37110341,72.21,Label Not Found,79.71,Label Not Found,69.42,Label Not Found,67.05,Label Not Found
37110351,*תורת הגרפים ואלגוריתמים,4.0,20116201,Label Not Found,71.87,Label Not Found,82.0,Label Not Found,71.94,Label Not Found,75.38
37111311,תכן לוגי,3.0,36113201,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120241,פרוטוקולי גישה אקראית,3.0,37110291,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37120321,רשתות אד הוק אוטונומיות,3.0,37110301,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
37121221,האינטרנט שידור אותות שמע וחוזי על רשת,3.0,37111241 37110291,Label Not Found,92.47,Label Not Found,93.05,Label Not Found,91.92,Label Not Found,Label Not Found
37121261,נושאים נבחרים בתקשורת תמונה ווידאו,3.0,37111241,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,88.57,Label Not Found
37121721,הסקה סטטיסטית וכריית נתונים,3.0,20119831,Label Not Found,Label Not Found,Label Not Found,Label Not Found,92.33,Label Not Found,90.11,Label Not Found
36113131,מערכות ספרתיות למדעי המחש ב,3.5,,77.22,Label Not Found,82.38,Label Not Found,81.03,Label Not Found,74.75,Label Not Found
36113301,מבוא למחשבים למדעי המחש ב,3.5,36113131,97.0,79.56,92.83,86.55,80.92,81.17,78.0,79.5
37113111,תכן לוגי,,,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found,Label Not Found
